,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.0,1.0184,1.59,,1.0825
0,20240103,2.99,0.5793,0.79,,1.0789
0,20240104,2.97,0.5814,0.76,,1.0717
0,20240105,2.92,0.8045,1.05,,1.0537
0,20240108,2.85,0.8291,1.16,,1.0284
0,20240109,2.87,0.6666,0.87,,1.0356
0,20240110,2.85,0.6317,0.91,,1.0284
0,20240111,2.91,0.6979,0.99,,1.0501
0,20240112,2.9,0.4939,0.68,,1.0465
0,20240115,2.88,0.3959,0.6,,1.0392
0,20240116,2.85,0.6221,1.08,,1.0284
0,20240117,2.8,0.6132,1.08,,1.0104
0,20240118,2.78,1.2479,2.21,,1.0031
0,20240119,2.73,0.575,0.85,,0.9851
0,20240122,2.52,1.4405,2.09,,0.9093
0,20240123,2.47,1.951,2.17,,0.8913
0,20240124,2.58,1.8234,1.56,,0.931
0,20240125,2.7,1.4068,1.0,,0.9743
0,20240126,2.69,1.5262,1.06,,0.9707
0,20240129,2.66,1.1789,0.72,,0.9598
0,20240130,2.56,0.9454,0.6,,0.9238
0,20240131,2.45,1.1711,0.85,,0.8841
0,20240201,2.39,1.1999,0.96,,0.8624
0,20240202,2.3,1.464,1.22,,0.8299
0,20240205,2.07,2.1071,1.77,,0.7469
0,20240206,2.14,2.0589,1.49,,0.7722
0,20240207,2.22,1.7975,1.12,,0.8011
0,20240208,2.44,1.4604,0.85,,0.8805
0,20240219,2.37,2.3212,1.31,,0.8552
0,20240220,2.39,1.0788,0.55,,0.8624
0,20240221,2.41,1.3603,0.78,,0.8696
0,20240222,2.43,1.0862,0.68,,0.8769
0,20240223,2.51,1.2715,0.87,,0.9057
0,20240226,2.52,1.1977,0.84,,0.9093
0,20240227,2.57,1.073,0.9,,0.9274
0,20240228,2.46,2.1039,1.76,,0.8877
0,20240229,2.52,1.145,0.85,,0.9093
0,20240301,2.53,0.9245,0.68,,0.9129
0,20240304,2.49,1.2043,0.93,,0.8985
0,20240305,2.46,1.4567,1.13,,0.8877
0,20240306,2.48,1.3294,0.97,,0.8949
0,20240307,2.58,3.6641,3.02,,0.931
0,20240308,2.58,2.4285,1.42,,0.931
0,20240311,2.61,1.6606,0.82,,0.9418
0,20240312,2.58,1.5138,0.72,,0.931
0,20240313,2.56,1.0946,0.52,,0.9238
0,20240314,2.6,2.7373,1.32,,0.9382
0,20240315,2.86,5.4986,2.91,,1.032
0,20240318,2.85,5.7776,2.31,,1.0284
0,20240319,2.83,4.5945,1.38,,1.0212
0,20240320,2.87,4.349,1.1,,1.0356
0,20240321,2.91,3.5818,0.78,,1.0501
0,20240322,2.79,3.4318,0.72,,1.0068
0,20240325,2.71,2.35,0.54,,0.9779
0,20240326,2.69,1.8124,0.5,,0.9707
0,20240327,2.59,1.5141,0.49,,0.9346
0,20240328,2.66,1.6398,0.65,,0.9598
0,20240329,2.85,4.3227,2.01,,1.0284
0,20240401,2.89,4.1659,1.79,,1.0428
0,20240402,3.04,5.4293,2.02,,1.097
0,20240403,3.18,8.3593,2.45,,1.1475
